gene	seqnames	start	end	strand	name	locus	locus_alt	synonyms	product
SGL_RS15750	chromosome	2983696	2984748	-	rlmN	sll0098	SGL_RS15750	RS15750	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
SGL_RS15755	chromosome	2984875	2984946	+	SGL_RS15755	SGL_RS15755	NA	RS15755 // ST6803t36	tRNA-Gly
SGL_RS15760	chromosome	2984992	2986242	+	slr0108	slr0108	SGL_RS15760	RS15760	AsnC family protein
SGL_RS15765	chromosome	2986239	2987195	+	slr0109	slr0109	SGL_RS15765	RS15765	mechanosensitive ion channel family protein
SGL_RS15770	chromosome	2987264	2988610	-	sll0096	sll0096	SGL_RS15770	RS15770	CIA30 family protein
SGL_RS15775	chromosome	2988808	2990511	-	spkL	sll0095	SGL_RS15775	RS15775	serine/threonine-protein kinase SpkL
SGL_RS15780	chromosome	2990526	2991899	-	hik37	sll0094	SGL_RS15780	RS15780	two-component sensor histidine kinase
SGL_RS15785	chromosome	2992056	2992691	+	slr0110	slr0110	SGL_RS15785	RS15785	ParA family protein
SGL_RS15790	chromosome	2992803	2993324	+	slr0111	slr0111	SGL_RS15790	RS15790	hypothetical protein
SLR0111-AS	chromosome	2993328	2993353	-	slr0111-as	slr0111-as	NA	NA	SLR0111-AS-RNA
SGL_RS15795	chromosome	2993512	2994063	+	slr0112	slr0112	SGL_RS15795	RS15795	hypothetical protein
SGL_RS15800	chromosome	2994189	2995718	+	slr0114	slr0114	SGL_RS15800	RS15800	PP2C family protein-serine/threonine phosphatase
NCL1510	chromosome	2995806	2995848	-	ncl1510	ncl1510	NA	NA	NCL1510-RNA
SGL_RS15805	chromosome	2995909	2996634	+	rpaA	slr0115	SGL_RS15805	RS15805 // rre31	phosphorylated RpaA // response regulator RpaA
SGL_RS15810	chromosome	2996696	2997442	+	pcyA	slr0116	SGL_RS15810	RS15810	phycocyanobilin:ferredoxin oxidoreductase
SGL_RS20010	chromosome	2997812	2998081	-	ssl0172	ssl0172	SGL_RS20010	RS20010	transposase
SGL_RS20015	chromosome	2998240	2998926	-	sll0092	sll0092	SGL_RS20015	RS20015	IS701 family transposase
SGL_RS15825	chromosome	2999182	3000561	+	thiC	slr0118	SGL_RS15825	RS15825	phosphomethylpyrimidine synthase
SGL_RS15830	chromosome	3000787	3001743	+	slr0119	slr0119	SGL_RS15830	RS15830	YihY/virulence factor BrkB family protein
SGL_RS15835	chromosome	3002076	3002798	+	slr0120	slr0120	SGL_RS15835	RS15835	TrmJ/YjtD family RNA methyltransferase
SGL_RS15840	chromosome	3002967	3004454	+	slr0121	slr0121	SGL_RS15840	RS15840	class A beta-lactamase
SGL_RS15845	chromosome	3004455	3006641	-	ppk1	sll0290	SGL_RS15845	RS15845	polyphosphate kinase 1
SLL0290-AS	chromosome	3005325	3005535	+	sll0290-as	sll0290-as	NA	NA	SLL0290-AS-RNA
SGL_RS15850	chromosome	3006810	3007004	+	SGL_RS15850	SGL_RS15850	NA	RS15850	hypothetical protein
SGL_RS15855	chromosome	3007050	3007271	-	SGL_RS15855	SGL_RS15855	NA	RS15855	hypothetical protein
SGL_RS15860	chromosome	3007281	3007574	-	minE	ssl0546	SGL_RS15860	RS15860	cell division topological specificity factor MinE
SGL_RS15865	chromosome	3007632	3008432	-	minD	sll0289	SGL_RS15865	RS15865	septum site-determining protein MinD
SGL_RS15870	chromosome	3008509	3009252	-	minC	sll0288	SGL_RS15870	RS15870	septum site-determining protein MinC
SGL_RS15875	chromosome	3009464	3010096	+	slr0298	slr0298	SGL_RS15875	RS15875	FHA domain-containing protein
SGL_RS15880	chromosome	3010158	3010865	+	catA	slr0299	SGL_RS15880	RS15880	CatA-like O-acetyltransferase
SGL_RS15885	chromosome	3010841	3011425	+	slr0300	slr0300	SGL_RS15885	RS15885	Uma2 family endonuclease
SLR0300-AS	chromosome	3011416	3011513	-	slr0300-as	slr0300-as	NA	NA	SLR0300-AS-RNA
SGL_RS15890	chromosome	3011673	3014129	+	ppsA	slr0301	SGL_RS15890	RS15890	pyruvate, water dikinase
SLR0301-AS	chromosome	3011828	3011865	-	slr0301-as	slr0301-as	NA	NA	SLR0301-AS-RNA
SGL_RS15895	chromosome	3014391	3016697	+	dgcB	slr0302	SGL_RS15895	RS15895	diguanylate cyclase DgcB
SGL_RS15900	chromosome	3017184	3018152	+	arsM	slr0303	SGL_RS15900	RS15900	arsenite methyltransferase ArsM
SGL_RS15905	chromosome	3018205	3019215	+	arsS	slr0304	SGL_RS15905	RS15905	5'-deoxy-5'-dimethylarsinoyl-adenosine synthase
SLR0304-AS	chromosome	3018788	3018837	-	slr0304-as	slr0304-as	NA	NA	SLR0304-AS-RNA
SGL_RS15910	chromosome	3019262	3019891	+	slr0305	slr0305	SGL_RS15910	RS15910	TVP38/TMEM64 family protein
SGL_RS15915	chromosome	3020302	3021822	+	slr0306	slr0306	SGL_RS15915	RS15915	bifunctional metallophosphatase/5'-nucleotidase
SGL_RS15920	chromosome	3021894	3022409	-	cSNAT	sll0286	SGL_RS15920	RS15920	serotonin <i>N</i>-acetyltransferase
SGL_RS15925	chromosome	3022533	3024272	-	sll0284	sll0284	SGL_RS15925	RS15925	ATP-binding protein
SLL0284-AS2	chromosome	3023888	3023935	+	sll0284-as2	sll0284-as2	NA	NA	SLL0284-AS2-RNA
SLL0284-AS	chromosome	3024007	3024104	+	sll0284-as	sll0284-as	NA	NA	SLL0284-AS-RNA
NCL1520	chromosome	3024434	3024468	-	ncl1520	ncl1520	NA	NA	NCL1520-RNA
SGL_RS15930	chromosome	3024509	3025747	-	sll0283	sll0283	SGL_RS15930	RS15930	hypothetical protein
NCL1530	chromosome	3025787	3025906	-	ncl1530	ncl1530	NA	NA	NCL1530-RNA
SGL_RS15935	chromosome	3026237	3027658	+	slr0309	slr0309	SGL_RS15935	RS15935	radical SAM protein
SGL_RS15945	chromosome	3028502	3029467	-	sll0282	sll0282	SGL_RS15945	RS15945	hypothetical protein
SLL0282-AS	chromosome	3028782	3028812	+	sll0282-as	sll0282-as	NA	NA	SLL0282-AS-RNA
SGL_RS15950	chromosome	3029484	3030656	-	sll0281	sll0281	SGL_RS15950	RS15950	DUF1822 family protein
SGL_RS15955	chromosome	3030726	3031829	-	sll0280	sll0280	SGL_RS15955	RS15955	hypothetical protein
SGL_RS19350	chromosome	3031828	3031989	+	SGL_RS19350	SGL_RS19350	NA	RS19350	hypothetical protein
G2PN3-371	chromosome	3032224	3032481	+	ssr0511	ssr0511	NA	NA	unknown protein
SGL_RS15960	chromosome	3032497	3034776	+	hik29	slr0311	SGL_RS15960	RS15960	two-component sensor histidine kinase
SGL_RS15965	chromosome	3034784	3035413	+	slr0312	slr0312	SGL_RS15965	RS15965	response regulator transcription factor
SGL_RS15970	chromosome	3035635	3036192	+	slr0313	slr0313	SGL_RS15970	RS15970	DsbA family protein
SGL_RS15975	chromosome	3036235	3037065	+	slr0314	slr0314	SGL_RS15975	RS15975	alpha/beta hydrolase
SGL_RS15980	chromosome	3037311	3038045	+	slr0315	slr0315	SGL_RS15980	RS15980	short-chain dehydrogenase/redutase
SGL_RS15985	chromosome	3038376	3039167	+	slr0316	slr0316	SGL_RS15985	RS15985	CPBP family intramembrane metalloprotease
G2PN3-372	chromosome	3039299	3039598	+	ssr0515	ssr0515	NA	NA	hypothetical protein
SGL_RS15995	chromosome	3039859	3040722	+	slr0317	slr0317	SGL_RS15995	RS15995	SDR family oxidoreductase
SLR0317-AS	chromosome	3040026	3040152	-	slr0317-as	slr0317-as	NA	NA	SLR0317-AS-RNA
SGL_RS19490	chromosome	3040792	3040956	+	SGL_RS19490	SGL_RS19490	NA	RS19490	hypothetical protein
SGL_RS16000	chromosome	3041015	3041416	+	slr0318	slr0318	SGL_RS16000	RS16000	RidA family protein
SGL_RS16005	chromosome	3041495	3042409	+	blaOXA	slr0319	SGL_RS16005	RS16005	class D beta-lactamase
SLR0319-AS	chromosome	3041946	3042175	-	slr0319-as	slr0319-as	NA	NA	SLR0319-AS-RNA
G2PN3-395	chromosome	3042488	3042673	-	ssl0511	ssl0511	NA	NA	hypothetical protein
SGL_RS16015	chromosome	3042790	3043614	+	mapB	slr0786	SGL_RS16015	RS16015 // map2	methionyl aminopeptidase B
SGL_RS19080	chromosome	3043637	3043927	-	sll0800	sll0800	SGL_RS19080	RS19080	Rpn family recombination-promoting nuclease/putative transposase (inactive)
SGL_RS16020	chromosome	3044056	3044439	-	vapC8	SGL_RS16020	NA	RS16020	endoribonuclease VapC8
SGL_RS16025	chromosome	3044420	3044656	-	vapB8	ssl1493	SGL_RS16025	RS16025	antitoxin VapB8
SGL_RS16030	chromosome	3044834	3045853	+	nadM	slr0787	SGL_RS16030	RS16030	bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase
SGL_RS16035	chromosome	3045878	3047266	+	nadV	slr0788	SGL_RS16035	slr0788 // G-9459 // RS16035	nicotinamide phosphoribosyltransferase
SLR0788-AS	chromosome	3047249	3047402	-	slr0788-as	slr0788-as	NA	NA	SLR0788-AS-RNA
SGL_RS16040	chromosome	3047910	3048272	+	slr0789	slr0789	SGL_RS16040	RS16040	HPP family protein
SGL_RS16045	chromosome	3048400	3048636	+	slr0790	slr0790	SGL_RS16045	RS16045	UmuC protein
SGL_RS16050	chromosome	3048903	3050267	-	nrsS	sll0798	SGL_RS16050	RS16050 // rppB // hik30	sensor histidine kinase NrsS
SLL0798-AS5	chromosome	3048905	3048971	+	sll0798-as5	sll0798-as5	NA	NA	SLL0798-AS5-RNA
SLL0798-AS4	chromosome	3048911	3048973	+	sll0798-as4	sll0798-as4	NA	NA	SLL0798-AS4-RNA
SLL0798-AS3	chromosome	3048916	3048971	+	sll0798-as3	sll0798-as3	NA	NA	SLL0798-AS3-RNA
SLL0798-AS2	chromosome	3049488	3049630	+	sll0798-as2	sll0798-as2	NA	NA	SLL0798-AS2-RNA
SLL0798-AS	chromosome	3049959	3050014	+	sll0798-as	sll0798-as	NA	NA	SLL0798-AS-RNA
SGL_RS16055	chromosome	3050264	3050968	-	nrsR	sll0797	SGL_RS16055	RS16055 // rppA	phosphorylated NrsR // response regulator NrsR
SGL_RS16060	chromosome	3051090	3051734	+	nrsB	slr0793	SGL_RS16060	RS16060	efflux RND transporter periplasmic adaptor subunit
SGL_RS16065	chromosome	3051773	3054937	+	nrsA	slr0794	SGL_RS16065	RS16065	CusA/CzcA family heavy metal efflux RND transporter
SGL_RS16070	chromosome	3055017	3055700	+	nrsC	slr0795	SGL_RS16070	RS16070	cation efflux system protein involved in nickel and cobalt tolerance
SGL_RS16075	chromosome	3055815	3057152	+	nrsD	slr0796	SGL_RS16075	RS16075	nickel permease
SGL_RS16080	chromosome	3057218	3058330	-	coaR	sll0794	SGL_RS16080	RS16080	cobalt transporter transcriptional activator
SLL0794-AS	chromosome	3057799	3057968	+	sll0794-as	sll0794-as	NA	NA	SLL0794-AS-RNA
SGL_RS16085	chromosome	3058412	3060340	+	coaT	slr0797	SGL_RS16085	RS16085	cobalt translocating P-type ATPase
SGL_RS16090	chromosome	3060470	3060796	-	sll0793	sll0793	SGL_RS16090	RS16090	YnfA family protein
SLL0793-AS	chromosome	3060492	3060550	+	sll0793-as	sll0793-as	NA	NA	SLL0793-AS-RNA
SGL_RS16095	chromosome	3060808	3061206	-	ziaR	sll0792	SGL_RS16095	RS16095	Zn(II)-sensing metalloregulatory transcriptional repressor ZiaR
SGL_RS16100	chromosome	3061358	3063523	+	ziaA	slr0798	SGL_RS16100	RS16100	zinc-transporting P-type ATPase
SLR0798-AS2	chromosome	3061980	3062060	-	slr0798-as2	slr0798-as2	NA	NA	SLR0798-AS2-RNA
SLR0798-AS	chromosome	3062884	3063070	-	slr0798-as	slr0798-as	NA	NA	SLR0798-AS-RNA
SGL_RS16105	chromosome	3063550	3064926	-	copS	sll0790	SGL_RS16105	RS16105 // hik31	sensor histidine kinase CopS
SLL0790-AS	chromosome	3064064	3064219	+	hik31	sll0790-as	NA	NA	hik31
SGL_RS16110	chromosome	3064913	3065611	-	copR	sll0789	SGL_RS16110	RS16110	phosphorylated CopR // response regulator transcription factor CopR
SGL_RS16115	chromosome	3065618	3066208	-	copM	sll0788	SGL_RS16115	RS16115	copper binding protein CopM
SLR0799-AS	chromosome	3066424	3066658	-	slr0799-as	slr0799-as	NA	NA	SLR0799-AS-RNA
SGL_RS19085	chromosome	3066430	3067178	+	slr0799	slr0799	slr0800	RS19085	IS5 family transposase
NCL1560	chromosome	3067315	3067346	-	ncl1560	ncl1560	NA	NA	NCL1560-RNA
SGL_RS16130	chromosome	3067359	3067649	-	ssl1464	ssl1464	SGL_RS16130	RS16130	MSMEG_0570 family nitrogen starvation response protein
SGL_RS16135	chromosome	3067653	3068621	-	sll0787	sll0787	SGL_RS16135	RS16135	sll0787 family AIR synthase-like protein
SGL_RS16140	chromosome	3068631	3069149	-	sll0786	sll0786	SGL_RS16140	RS16140	GNAT family N-acetyltransferase
SGL_RS16145	chromosome	3069163	3070251	-	sll0785	sll0785	SGL_RS16145	RS16145	MSMEG_0568 family radical SAM protein
SGL_RS16150	chromosome	3070282	3071307	-	sll0784	sll0784	SGL_RS16150	RS16150	Nit6803 family nitriliase
SGL_RS16155	chromosome	3071460	3071942	-	sll0783	sll0783	SGL_RS16155	RS16155	nitrogen starvation-induced protein
SGL_RS16160	chromosome	3072407	3073657	+	slr0801	slr0801	SGL_RS16160	RS16160	MSMEG_0569 family flavin-dependent oxidoreductase
SGL_RS16165	chromosome	3073630	3074739	-	sll0782	sll0782	SGL_RS16165	RS16165	LuxR C-terminal-related transcriptional regulator
SGL_RS16170	chromosome	3075111	3075578	-	sll0781	sll0781	SGL_RS16170	RS16170	DUF1348 family protein
SGL_RS19095	chromosome	3075547	3075849	-	sll0780	sll0780	SGL_RS19095	RS19095	hypothetical protein
SGL_RS16175	chromosome	3075897	3078551	-	dgcC	sll0779	SGL_RS16175	RS16175	diguanylate cyclase DgcC
SLL0779-AS2	chromosome	3076182	3076300	+	sll0779-as2	sll0779-as2	NA	NA	SLL0779-AS2-RNA
SLL0779-AS	chromosome	3077277	3077344	+	sll0779-as	sll0779-as	NA	NA	SLL0779-AS-RNA
SGL_RS16180	chromosome	3078839	3081205	-	sll0778	sll0778	SGL_RS16180	RS16180	ATP-binding cassette domain-containing protein
SLL0778-AS	chromosome	3079703	3079757	+	sll0778-as	sll0778-as	NA	NA	SLL0778-AS-RNA
SGL_RS16185	chromosome	3081265	3082134	-	sll0777	sll0777	SGL_RS16185	RS16185	D-alanyl-D-alanine carboxypeptidase family protein
SGL_RS16190	chromosome	3082152	3083669	-	spkD	sll0776	SGL_RS16190	RS16190	protein serine/threonine kinase SpkD
SLL0776-AS	chromosome	3082220	3082281	+	sll0776-as	sll0776-as	NA	NA	SLL0776-AS-RNA
SGL_RS16195	chromosome	3083747	3084124	-	sll0775	sll0775	SGL_RS16195	RS16195	DUF4189 domain-containing protein
SGL_RS18430	chromosome	3084422	3084586	+	ssr1169	ssr1169	SGL_RS18430	RS18430	YqaE/Pmp3 family membrane protein
SGL_RS16205	chromosome	3084678	3088436	+	slr0697	slr0697	SGL_RS16205	RS16205	hydantoinase B/oxoprolinase family protein
SLR0697-AS	chromosome	3086574	3086711	-	slr0697-as	slr0697-as	NA	NA	SLR0697-AS-RNA
SGL_RS16210	chromosome	3088420	3088884	+	slr0698	slr0698	SGL_RS16210	RS16210	CYTH domain-containing protein
SGL_RS16215	chromosome	3089094	3089516	+	slr0699	slr0699	SGL_RS16215	RS16215	hypothetical protein
SGL_RS16220	chromosome	3089657	3091015	+	slr0700	slr0700	SGL_RS16220	RS16220	APC family permease
SGL_RS16225	chromosome	3091245	3091658	+	slr0701	slr0701	SGL_RS16225	RS16225	heavy metal-responsive transcriptional regulator
SGL_RS16230	chromosome	3091765	3093018	+	slr0702	slr0702	SGL_RS16230	RS16230	hypothetical protein
SGL_RS16235	chromosome	3093409	3093846	-	sll0678	sll0678	SGL_RS16235	RS16235	hypothetical protein
SGL_RS16240	chromosome	3093909	3094694	-	sll0677	sll0677	SGL_RS16240	RS16240	IS5 family transposase
SGL_RS19355	chromosome	3094774	3094971	-	ssl1277	ssl1277	SGL_RS19355	RS19355	transposase
SGL_RS16245	chromosome	3095045	3095587	-	sll0676	sll0676	SGL_RS16245	RS16245	DUF4334 domain-containing protein
SGL_RS16250	chromosome	3096049	3096330	+	ssr1175	ssr1175	SGL_RS16250	RS16250	IS630 transposase-related protein (inactive)
SGL_RS16255	chromosome	3096389	3097174	+	slr0703	slr0703	SGL_RS16255	RS16255	IS5 family transposase
SGL_RS20045	chromosome	3097193	3097368	+	smr0002	smr0002	SGL_RS20045	RS20045	IS630 family transposase (inactive)
SGL_RS19110	chromosome	3097437	3098285	+	slr0704	slr0704	SGL_RS19110	RS19110	IS630-like element ISTcSa family transposase
SGL_RS16265	chromosome	3098309	3098719	+	ssr1176	ssr1176	SGL_RS16265	RS16265	transposase (inactive)
SGL_RS16270	chromosome	3098730	3101567	-	sll0672	sll0672	SGL_RS16270	RS16270	cation-transporting P-type ATPase
SGL_RS16275	chromosome	3101821	3102963	-	corA	sll0671	SGL_RS16275	RS16275	magnesium/cobalt transporter CorA
SGL_RS16280	chromosome	3103071	3103487	-	sll0670	sll0670	SGL_RS16280	RS16280	L,D-transpeptidase
G2PN3-408	chromosome	3103785	3104105	-	sll0669	sll0669	NA	NA	unknown protein
SGL_RS16290	chromosome	3104143	3107103	+	polA	slr0707	SGL_RS16290	RS16290	DNA polymerase I
SLR0707-AS	chromosome	3104188	3104262	-	slr0707-as	slr0707-as	NA	NA	SLR0707-AS-RNA
SGL_RS16295	chromosome	3107286	3108494	+	slr0708	slr0708	SGL_RS16295	RS16295	hypothetical protein
SGL_RS16305	chromosome	3108820	3109762	-	sll0667	sll0667	SGL_RS16305	RS16305	IS701 family transposase (inactive)
SGL_RS19115	chromosome	3109734	3110561	-	sll0665	sll0665	sll0666	RS19115	IS5 family transposase (inactive)
SGL_RS16320	chromosome	3110911	3111831	-	sll0664	sll0664	SGL_RS16320	RS16320	hypothetical protein
SGL_RS16325	chromosome	3111997	3112389	+	slr0709	slr0709	SGL_RS16325	RS16325	RidA family protein
SGL_RS16330	chromosome	3112518	3113804	+	gdhA	slr0710	SGL_RS16330	RS16330	NADP-specific glutamate dehydrogenase
SLR0710-AS	chromosome	3112990	3113133	-	slr0710-as	slr0710-as	NA	NA	SLR0710-AS-RNA
SGL_RS16335	chromosome	3113875	3114288	+	queF	slr0711	SGL_RS16335	RS16335	preQ(1) synthase
SGL_RS16340	chromosome	3114480	3115448	+	slr0712	slr0712	SGL_RS16340	RS16340	lysylphosphatidylglycerol synthase domain-containing protein
SGL_RS16345	chromosome	3115573	3115974	-	fed7	sll0662	SGL_RS16345	RS16345 // fx7 // fdx7	ferredoxin 7
SGL_RS16350	chromosome	3115974	3116360	-	sll0661	sll0661	SGL_RS16350	RS16350	DUF1257 domain-containing protein
SSL1263-AS	chromosome	3116361	3116463	+	ssl1263-as	ssl1263-as	NA	NA	SSL1263-AS-RNA
SGL_RS16355	chromosome	3116441	3116683	-	ssl1263	ssl1263	SGL_RS16355	RS16355	DUF2997 domain-containing protein
SGL_RS16360	chromosome	3117043	3118092	-	pdxA	sll0660	SGL_RS16360	RS16360	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
SGL_RS16365	chromosome	3118193	3118303	+	petM	SGL_RS16365	NA	RS16365 // smr0003	cytochrome <i>b</i><sub>6</sub><i>f</i> complex subunit PetM
SGL_RS16370	chromosome	3118392	3119516	+	tgt	slr0713	SGL_RS16370	RS16370	tRNA guanosine(34) transglycosylase Tgt
SLR0713-AS2	chromosome	3119304	3119358	-	slr0713-as2	slr0713-as2	NA	NA	SLR0713-AS2-RNA
SLR0713-AS	chromosome	3119351	3119508	-	slr0713-as	slr0713-as	NA	NA	SLR0713-AS-RNA
SGL_RS16375	chromosome	3119609	3121177	-	sll0659	sll0659	SGL_RS16375	RS16375	hypothetical protein
SLL0659-AS	chromosome	3119796	3119980	+	sll0659-as	sll0659-as	NA	NA	SLL0659-AS-RNA
SLL0659-AS2	chromosome	3119850	3119886	+	sll0659-as2	sll0659-as2	NA	NA	SLL0659-AS2-RNA
SGL_RS16380	chromosome	3121194	3121688	-	vapB14	sll0658	SGL_RS16380	RS16380	antitoxin VapB14
SGL_RS16385	chromosome	3121685	3121954	-	vapC14	ssl1255	SGL_RS16385	RS16385	endoribonuclease VapC14
SGL_RS16390	chromosome	3121973	3123070	-	mraY	sll0657	SGL_RS16390	RS16390	phospho-N-acetylmuramoyl-pentapeptide-transferase
SSL1255-AS	chromosome	3121986	3122105	+	ssl1255-as	ssl1255-as	NA	NA	SSL1255-AS-RNA
SGL_RS16395	chromosome	3123183	3125036	+	slr0765	slr0765	SGL_RS16395	RS16395	mechanosensitive ion channel family protein
SGL_RS16400	chromosome	3125046	3126200	-	pfk2	sll0745	SGL_RS16400	RS16400	ATP-dependent 6-phosphofructokinase
SGL_RS16405	chromosome	3126312	3127343	-	sll0744	sll0744	SGL_RS16405	RS16405	dihydroorotate dehydrogenase (quinone)
SLL0744-AS	chromosome	3126496	3126565	+	sll0744-as	sll0744-as	NA	NA	SLL0744-AS-RNA
SGL_RS16410	chromosome	3127365	3127847	-	sll0743	sll0743	SGL_RS16410	RS16410	DUF29 domain-containing protein
SGL_RS16415	chromosome	3127865	3128314	-	sll0742	sll0742	SGL_RS16415	RS16415	DUF29 domain-containing protein
SGL_RS16420	chromosome	3128388	3131987	-	pfoA	sll0741	SGL_RS16420	RS16420 // nifJ	pyruvate:ferredoxin (flavodoxin) oxidoreductase
SGL_RS16425	chromosome	3132578	3133285	-	sll0740	sll0740	SGL_RS16425	RS16425	Uma2 family endonuclease
SGL_RS16430	chromosome	3133292	3135139	-	modB	sll0739	SGL_RS16430	RS16430	molybdate ABC transporter permease subunit
SGL_RS16435	chromosome	3135186	3135998	-	modA	sll0738	SGL_RS16435	RS16435	molybdate ABC transporter substrate-binding protein
SGL_RS16440	chromosome	3136020	3138605	-	wzy	sll0737	SGL_RS16440	RS16440	O-antigen ligase
NCL1570	chromosome	3138657	3138744	-	SyR5	ncl1570	NA	NA	SyR5
NCL1580	chromosome	3138769	3138862	-	ncl1580	ncl1580	NA	NA	NCL1580-RNA
NCR1550	chromosome	3138831	3138894	+	ncr1550	ncr1550	NA	NA	NCR1550-RNA
SGL_RS16445	chromosome	3138918	3139856	-	sll0048	sll0048	SGL_RS16445	RS16445	GGDEF domain-containing protein
NCR1560	chromosome	3139982	3140032	+	ncr1560	ncr1560	NA	NA	NCR1560-RNA
SGL_RS19120	chromosome	3140046	3140165	-	ycf12	sll0047	SGL_RS19120	RS19120	photosystem II reaction center protein Ycf12
SGL_RS16455	chromosome	3140308	3140679	+	slr0022	slr0022	SGL_RS16455	RS16455	YkgJ family cysteine cluster protein
SGL_RS16460	chromosome	3140714	3142876	-	spsA	sll0045	SGL_RS16460	RS16460	sucrose phosphate synthase
SGL_RS16465	chromosome	3143012	3143572	+	slr0023	slr0023	SGL_RS16465	RS16465	hypothetical protein
SGL_RS16470	chromosome	3143697	3144182	-	sll0044	sll0044	SGL_RS16470	RS16470	CheW domain-containing protein
SGL_RS16475	chromosome	3144214	3148422	-	pixL	sll0043	SGL_RS16475	RS16475 // taxAY1 // hik18	positive phototaxis hybrid histidine kinase
SLL0043-AS	chromosome	3145685	3145745	+	sll0043-as	sll0043-as	NA	NA	SLL0043-AS-RNA
SGL_RS16480	chromosome	3148439	3148930	-	pixJ2	sll0042	SGL_RS16480	RS16480	methyl-accepting chemotaxis protein
SGL_RS16485	chromosome	3148976	3151978	-	pixJ1	sll0041	SGL_RS16485	RS16485	cyanobacteriochrome/methyl-accepting chemotaxis protein PixJ1
SGL_RS16490	chromosome	3152240	3152818	-	pixI	sll0040	SGL_RS16490	RS16490	chemotaxis CheW-like protein
SGL_RS16495	chromosome	3152956	3153315	-	pixH	sll0039	SGL_RS16495	RS16495 // pisH	positive phototaxis protein, two-component response regulator CheY subfamily
SGL_RS16500	chromosome	3153453	3154661	-	pixG	sll0038	SGL_RS16500	RS16500 // pisG // taxP1 // rer1	positive phototaxis  response regulator PixG
NCL1590	chromosome	3154680	3154796	-	ncl1590	ncl1590	NA	NA	NCL1590-RNA
SGL_RS16505	chromosome	3154911	3156665	+	slr0031	slr0031	SGL_RS16505	RS16505	glycyl aminopeptidase
SLR0031-AS	chromosome	3156388	3156501	-	slr0031-as	slr0031-as	NA	NA	SLR0031-AS-RNA
SGL_RS16510	chromosome	3156761	3157678	+	ilvE	slr0032	SGL_RS16510	RS16510	branched-chain amino acid transaminase
SGL_RS16515	chromosome	3157735	3158049	+	gatC	slr0033	SGL_RS16515	RS16515	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
SLR0033-AS2	chromosome	3157996	3158040	-	slr0033-as2	slr0033-as2	NA	NA	SLR0033-AS2-RNA
SLR0033-AS	chromosome	3157998	3158046	-	slr0033-as	slr0033-as	NA	NA	SLR0033-AS-RNA
SGL_RS16520	chromosome	3158107	3159117	-	cbiX	sll0037	SGL_RS16520	RS16520	sirohydrochlorin cobaltocheletase
SGL_RS16525	chromosome	3159351	3160652	-	mgsA	sll0036	SGL_RS16525	RS16525	methylglyoxal synthase
SGL_RS16530	chromosome	3160724	3161887	+	slr0036	slr0036	SGL_RS16530	RS16530	pyridoxal phosphate-dependent aminotransferase
SGL_RS16535	chromosome	3161900	3162676	-	sll0034	sll0034	SGL_RS16535	RS16535	D-alanyl-D-alanine carboxypeptidase
SGL_RS16540	chromosome	3162739	3164244	-	crtH	sll0033	SGL_RS16540	RS16540	prolycopene isomerase
NCL1600	chromosome	3164321	3164388	-	ncl1600	ncl1600	NA	NA	NCL1600-RNA
SGL_RS16545	chromosome	3164405	3165592	-	sll0031	sll0031	SGL_RS16545	RS16545	LdpA C-terminal domain-containing domain
NCR1570	chromosome	3165668	3165925	+	ncr1570	ncr1570	NA	NA	NCR1570-RNA
SGL_RS16550	chromosome	3166051	3166449	+	slr0038	slr0038	SGL_RS16550	RS16550	hypothetical protein
SGL_RS16555	chromosome	3166608	3167681	+	slr0039	slr0039	SGL_RS16555	RS16555	phosphotransacetylase family protein
SLR0039-AS	chromosome	3167525	3167689	-	slr0039-as	slr0039-as	NA	NA	SLR0039-AS-RNA
SGL_RS16560	chromosome	3167888	3168802	-	cmpR	sll0030	SGL_RS16560	RS16560	cmp operon transcriptional regulator CmpR
SGL_RS16565	chromosome	3169055	3170413	+	cmpA	slr0040	SGL_RS16565	RS16565	bicarbonate ABC transporter substrate-binding protein
SLR0040-AS2	chromosome	3169253	3169301	-	slr0040-as2	slr0040-as2	NA	NA	SLR0040-AS2-RNA
SLR0040-AS	chromosome	3169552	3169631	-	slr0040-as	slr0040-as	NA	NA	SLR0040-AS-RNA
SGL_RS16570	chromosome	3170476	3171318	+	cmpB	slr0041	SGL_RS16570	RS16570	bicarbonate ABC transporter permease
SGL_RS16575	chromosome	3171429	3173159	+	oprB	slr0042	SGL_RS16575	RS16575	carbohydrate-selective porin
SLR0042-AS3	chromosome	3171856	3171917	-	slr0042-as3	slr0042-as3	NA	NA	SLR0042-AS3-RNA
SLR0042-AS2	chromosome	3173169	3173294	-	slr0042-as2	slr0042-as2	NA	NA	SLR0042-AS2-RNA
SLR0042-AS	chromosome	3173169	3173304	-	slr0042-as	slr0042-as	NA	NA	SLR0042-AS-RNA
SGL_RS16580	chromosome	3173336	3175339	+	cmpC	slr0043	SGL_RS16580	RS16580	bicarbonate ABC transporter ATP-binding protein
SGL_RS16585	chromosome	3175412	3176260	+	cmpD	slr0044	SGL_RS16585	RS16585	bicarbonate ABC transporter ATP-binding protein
